Year,Rank,Player,Club,Goals,Assists,Trophies
2010,1,Messi,Barcelona,47,11,3
2010,2,Iniesta,Barcelona,3,7,4
2010,3,Xavi,Barcelona,3,10,4
2011,1,Messi,Barcelona,59,37,5
2011,2,Ronaldo,Real Madrid,60,18,1
2011,3,Xavi,Barcelona,5,11,2
2012,1,Messi,Barcelona,91,22,4
2012,2,Ronaldo,Real Madrid,63,15,1
2012,3,Iniesta,Barcelona,13,16,5
2013,1,Ronaldo,Real Madrid,45,16,1
2013,2,Messi,Barcelona,69,15,1
2013,3,Ribery,Bayern Munich,27,25,5
2014,1,Ronaldo,Real Madrid,61,20,4
2014,2,Messi,Barcelona,58,21,1
2014,3,Neuer,Bayern Munich,16,5,5
2015,1,Messi,Barcelona,58,33,6
2015,2,Ronaldo,Real Madrid,47,18,2
2015,3,Neymar,Barcelona,25,35,6
2016,1,Ronaldo,Real Madrid,69,25,5
2016,2,Messi,Barcelona,30,25,3
2016,3,Griezmann,Atlético Madrid,25,20,3
2017,1,Ronaldo,Real Madrid,53,12,4
2017,2,Messi,Barcelona,54,16,2
2017,3,Neymar,Barcelona,20,26,1
2018,1,Modric,Real Madrid,4,12,3
2018,2,Ronaldo,Real Madrid,49,13,3
2018,3,Griezmann,Atlético Madrid,19,11,2
2019,1,Messi,Real Madrid,34,19,2
2019,2,Virgil,Liverpool,20,12,3
2019,3,Ronaldo,Juventus,39,11,3
2021,1,Messi,Barcelona,43,27,2
2021,2,Lewandowski,Bayern Munich,69,10,3
2021,3,Jorginho,Chelsea,10,3,2
2022,1,Benzema,Real Madrid,44,15,3
2022,2,Mane,Liverpool,23,10,3
2022,3,De Bruyne,Manchester City,13,28,1
2023,1,Messi,PSG,28,12,3
2023,2,Haaland,Manchester City,56,15,3
2023,3,Mbappe,PSG,52,12,1
2024,1,Rodri,Manchester City,8,13,4
2024,2,Vinicius,Real Madrid,24,18,3
2024,3,Bellingham,Real Madrid,23,12,3
